Field,ID,Type (Tipo),default
DesktopScreenshot1,100,Caminho relativo (ou URL para arquivo no Partner Center),photos/portuguese/timer.png
DesktopScreenshot2,101,Caminho relativo (ou URL para arquivo no Partner Center),photos/portuguese/chat_de_grupos.png
DesktopScreenshot3,102,Caminho relativo (ou URL para arquivo no Partner Center),photos/portuguese/rankings.png
DesktopScreenshot4,103,Caminho relativo (ou URL para arquivo no Partner Center),photos/portuguese/perfil.png
DesktopScreenshot5,104,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot6,105,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot7,106,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot8,107,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot9,108,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot10,109,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot11,110,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot12,111,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot13,112,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot14,113,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot15,114,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot16,115,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot17,116,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot18,117,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot19,118,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot20,119,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot21,120,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot22,121,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot23,122,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot24,123,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot25,124,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot26,125,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot27,126,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot28,127,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot29,128,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshot30,129,Caminho relativo (ou URL para arquivo no Partner Center),
DesktopScreenshotCaption1,150,Texto,Cronometro de Estudo e Pomodoro com Materias Personalizadas
DesktopScreenshotCaption2,151,Texto,"Grupos de Estudo em Tempo Real, Chat e Live Study"
DesktopScreenshotCaption3,152,Texto,"Rankings Globais, Calendario e Heatmap de Produtividade"
DesktopScreenshotCaption4,153,Texto,"Perfil do Estudante, Estatisticas Detalhadas e Customizacao"
DesktopScreenshotCaption5,154,Texto,
DesktopScreenshotCaption6,155,Texto,
DesktopScreenshotCaption7,156,Texto,
DesktopScreenshotCaption8,157,Texto,
DesktopScreenshotCaption9,158,Texto,
DesktopScreenshotCaption10,159,Texto,
DesktopScreenshotCaption11,160,Texto,
DesktopScreenshotCaption12,161,Texto,
DesktopScreenshotCaption13,162,Texto,
DesktopScreenshotCaption14,163,Texto,
DesktopScreenshotCaption15,164,Texto,
DesktopScreenshotCaption16,165,Texto,
DesktopScreenshotCaption17,166,Texto,
DesktopScreenshotCaption18,167,Texto,
DesktopScreenshotCaption19,168,Texto,
DesktopScreenshotCaption20,169,Texto,
DesktopScreenshotCaption21,170,Texto,
DesktopScreenshotCaption22,171,Texto,
DesktopScreenshotCaption23,172,Texto,
DesktopScreenshotCaption24,173,Texto,
DesktopScreenshotCaption25,174,Texto,
DesktopScreenshotCaption26,175,Texto,
DesktopScreenshotCaption27,176,Texto,
DesktopScreenshotCaption28,177,Texto,
DesktopScreenshotCaption29,178,Texto,
DesktopScreenshotCaption30,179,Texto,
MobileScreenshot1,200,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot2,201,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot3,202,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot4,203,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot5,204,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot6,205,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot7,206,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot8,207,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot9,208,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot10,209,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot11,210,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot12,211,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot13,212,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot14,213,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot15,214,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot16,215,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot17,216,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot18,217,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot19,218,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot20,219,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot21,220,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot22,221,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot23,222,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot24,223,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot25,224,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot26,225,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot27,226,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot28,227,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot29,228,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshot30,229,Caminho relativo (ou URL para arquivo no Partner Center),
MobileScreenshotCaption1,250,Texto,
MobileScreenshotCaption2,251,Texto,
MobileScreenshotCaption3,252,Texto,
MobileScreenshotCaption4,253,Texto,
MobileScreenshotCaption5,254,Texto,
MobileScreenshotCaption6,255,Texto,
MobileScreenshotCaption7,256,Texto,
MobileScreenshotCaption8,257,Texto,
MobileScreenshotCaption9,258,Texto,
MobileScreenshotCaption10,259,Texto,
MobileScreenshotCaption11,260,Texto,
MobileScreenshotCaption12,261,Texto,
MobileScreenshotCaption13,262,Texto,
MobileScreenshotCaption14,263,Texto,
MobileScreenshotCaption15,264,Texto,
MobileScreenshotCaption16,265,Texto,
MobileScreenshotCaption17,266,Texto,
MobileScreenshotCaption18,267,Texto,
MobileScreenshotCaption19,268,Texto,
MobileScreenshotCaption20,269,Texto,
MobileScreenshotCaption21,270,Texto,
MobileScreenshotCaption22,271,Texto,
MobileScreenshotCaption23,272,Texto,
MobileScreenshotCaption24,273,Texto,
MobileScreenshotCaption25,274,Texto,
MobileScreenshotCaption26,275,Texto,
MobileScreenshotCaption27,276,Texto,
MobileScreenshotCaption28,277,Texto,
MobileScreenshotCaption29,278,Texto,
MobileScreenshotCaption30,279,Texto,
XboxScreenshot1,300,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot2,301,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot3,302,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot4,303,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot5,304,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot6,305,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot7,306,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot8,307,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot9,308,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot10,309,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot11,310,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot12,311,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot13,312,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot14,313,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot15,314,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot16,315,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot17,316,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot18,317,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot19,318,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot20,319,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot21,320,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot22,321,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot23,322,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot24,323,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot25,324,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot26,325,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot27,326,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot28,327,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot29,328,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshot30,329,Caminho relativo (ou URL para arquivo no Partner Center),
XboxScreenshotCaption1,350,Texto,
XboxScreenshotCaption2,351,Texto,
XboxScreenshotCaption3,352,Texto,
XboxScreenshotCaption4,353,Texto,
XboxScreenshotCaption5,354,Texto,
XboxScreenshotCaption6,355,Texto,
XboxScreenshotCaption7,356,Texto,
XboxScreenshotCaption8,357,Texto,
XboxScreenshotCaption9,358,Texto,
XboxScreenshotCaption10,359,Texto,
XboxScreenshotCaption11,360,Texto,
XboxScreenshotCaption12,361,Texto,
XboxScreenshotCaption13,362,Texto,
XboxScreenshotCaption14,363,Texto,
XboxScreenshotCaption15,364,Texto,
XboxScreenshotCaption16,365,Texto,
XboxScreenshotCaption17,366,Texto,
XboxScreenshotCaption18,367,Texto,
XboxScreenshotCaption19,368,Texto,
XboxScreenshotCaption20,369,Texto,
XboxScreenshotCaption21,370,Texto,
XboxScreenshotCaption22,371,Texto,
XboxScreenshotCaption23,372,Texto,
XboxScreenshotCaption24,373,Texto,
XboxScreenshotCaption25,374,Texto,
XboxScreenshotCaption26,375,Texto,
XboxScreenshotCaption27,376,Texto,
XboxScreenshotCaption28,377,Texto,
XboxScreenshotCaption29,378,Texto,
XboxScreenshotCaption30,379,Texto,
HolographicScreenshot1,400,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot2,401,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot3,402,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot4,403,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot5,404,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot6,405,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot7,406,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot8,407,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot9,408,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot10,409,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot11,410,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot12,411,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot13,412,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot14,413,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot15,414,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot16,415,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot17,416,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot18,417,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot19,418,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot20,419,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot21,420,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot22,421,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot23,422,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot24,423,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot25,424,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot26,425,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot27,426,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot28,427,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot29,428,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshot30,429,Caminho relativo (ou URL para arquivo no Partner Center),
HolographicScreenshotCaption1,450,Texto,
HolographicScreenshotCaption2,451,Texto,
HolographicScreenshotCaption3,452,Texto,
HolographicScreenshotCaption4,453,Texto,
HolographicScreenshotCaption5,454,Texto,
HolographicScreenshotCaption6,455,Texto,
HolographicScreenshotCaption7,456,Texto,
HolographicScreenshotCaption8,457,Texto,
HolographicScreenshotCaption9,458,Texto,
HolographicScreenshotCaption10,459,Texto,
HolographicScreenshotCaption11,460,Texto,
HolographicScreenshotCaption12,461,Texto,
HolographicScreenshotCaption13,462,Texto,
HolographicScreenshotCaption14,463,Texto,
HolographicScreenshotCaption15,464,Texto,
HolographicScreenshotCaption16,465,Texto,
HolographicScreenshotCaption17,466,Texto,
HolographicScreenshotCaption18,467,Texto,
HolographicScreenshotCaption19,468,Texto,
HolographicScreenshotCaption20,469,Texto,
HolographicScreenshotCaption21,470,Texto,
HolographicScreenshotCaption22,471,Texto,
HolographicScreenshotCaption23,472,Texto,
HolographicScreenshotCaption24,473,Texto,
HolographicScreenshotCaption25,474,Texto,
HolographicScreenshotCaption26,475,Texto,
HolographicScreenshotCaption27,476,Texto,
HolographicScreenshotCaption28,477,Texto,
HolographicScreenshotCaption29,478,Texto,
HolographicScreenshotCaption30,479,Texto,
SurfaceHubScreenshot11,510,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot12,511,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot13,512,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot14,513,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot15,514,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot16,515,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot17,516,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot18,517,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot19,518,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot20,519,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot21,520,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot22,521,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot23,522,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot24,523,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot25,524,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot26,525,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot27,526,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot28,527,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot29,528,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshot30,529,Caminho relativo (ou URL para arquivo no Partner Center),
SurfaceHubScreenshotCaption11,560,Texto,
SurfaceHubScreenshotCaption12,561,Texto,
SurfaceHubScreenshotCaption13,562,Texto,
SurfaceHubScreenshotCaption14,563,Texto,
SurfaceHubScreenshotCaption15,564,Texto,
SurfaceHubScreenshotCaption16,565,Texto,
SurfaceHubScreenshotCaption17,566,Texto,
SurfaceHubScreenshotCaption18,567,Texto,
SurfaceHubScreenshotCaption19,568,Texto,
SurfaceHubScreenshotCaption20,569,Texto,
SurfaceHubScreenshotCaption21,570,Texto,
SurfaceHubScreenshotCaption22,571,Texto,
SurfaceHubScreenshotCaption23,572,Texto,
SurfaceHubScreenshotCaption24,573,Texto,
SurfaceHubScreenshotCaption25,574,Texto,
SurfaceHubScreenshotCaption26,575,Texto,
SurfaceHubScreenshotCaption27,576,Texto,
SurfaceHubScreenshotCaption28,577,Texto,
SurfaceHubScreenshotCaption29,578,Texto,
SurfaceHubScreenshotCaption30,579,Texto,
StoreLogo720x1080,600,Caminho relativo (ou URL para arquivo no Partner Center),
StoreLogo1080x1080,601,Caminho relativo (ou URL para arquivo no Partner Center),assets/icons/icon.png
StoreLogo300x300,602,Caminho relativo (ou URL para arquivo no Partner Center),assets/icons/icon.png
OverrideLogosForWin10,603,True/False,False
StoreLogoOverride150x150,604,Caminho relativo (ou URL para arquivo no Partner Center),
StoreLogoOverride71x71,605,Caminho relativo (ou URL para arquivo no Partner Center),
PromoImage1920x1080,606,Caminho relativo (ou URL para arquivo no Partner Center),
PromoImage2400x1200,607,Caminho relativo (ou URL para arquivo no Partner Center),
XboxBrandedKeyArt584x800,608,Caminho relativo (ou URL para arquivo no Partner Center),
XboxTitledHero1920x1080,609,Caminho relativo (ou URL para arquivo no Partner Center),
XboxFeaturedPromo1080x1080,610,Caminho relativo (ou URL para arquivo no Partner Center),
OptionalPromo358x358,611,Caminho relativo (ou URL para arquivo no Partner Center),
OptionalPromo1000x800,612,Caminho relativo (ou URL para arquivo no Partner Center),
OptionalPromo414x180,613,Caminho relativo (ou URL para arquivo no Partner Center),
Feature1,700,Texto,Cronometro de estudo e Pomodoro personalizavel com materias coloridas
Feature2,701,Texto,Grupos de estudo em tempo real com lista de presenca e Live Study
Feature3,702,Texto,Heatmap anual de produtividade e calendario de consistencia
Feature4,703,Texto,"Rankings globais, nacionais e por categoria de estudo"
Feature5,704,Texto,Bloqueador de distracoes e modo de foco estrito
Feature6,705,Texto,Mini player flutuante Always-on-Top para estudar em multitarefa
Feature7,706,Texto,Flashcards com algoritmo de repeticao espacada SM-2 e leitor de PDF
Feature8,707,Texto,Gravador de timelapse de sessoes de estudo
Feature9,708,Texto,Contagem regressiva para exames e metas (D-Day) e grade de horarios
Feature10,709,Texto,Interface moderna AMOLED True Black com suporte a multiplos idiomas
Feature11,710,Texto,
Feature12,711,Texto,
Feature13,712,Texto,
Feature14,713,Texto,
Feature15,714,Texto,
Feature16,715,Texto,
Feature17,716,Texto,
Feature18,717,Texto,
Feature19,718,Texto,
Feature20,719,Texto,
MinimumHardwareReq1,800,Texto,Sistema Operacional: Windows 10 versao 17763.0 ou superior (x64)
MinimumHardwareReq2,801,Texto,Memoria: 2 GB de RAM
MinimumHardwareReq3,802,Texto,Processador: Processador Intel ou AMD de 1 GHz ou superior (x64)
MinimumHardwareReq4,803,Texto,
MinimumHardwareReq5,804,Texto,
MinimumHardwareReq6,805,Texto,
MinimumHardwareReq7,806,Texto,
MinimumHardwareReq8,807,Texto,
MinimumHardwareReq9,808,Texto,
MinimumHardwareReq10,809,Texto,
MinimumHardwareReq11,810,Texto,
RecommendedHardwareReq1,850,Texto,Sistema Operacional: Windows 11 (x64)
RecommendedHardwareReq2,851,Texto,Memoria: 4 GB de RAM ou superior
RecommendedHardwareReq3,852,Texto,Processador: Processador Dual-Core 2.0 GHz ou superior
RecommendedHardwareReq4,853,Texto,
RecommendedHardwareReq5,854,Texto,
RecommendedHardwareReq6,855,Texto,
RecommendedHardwareReq7,856,Texto,
RecommendedHardwareReq8,857,Texto,
RecommendedHardwareReq9,858,Texto,
RecommendedHardwareReq10,859,Texto,
RecommendedHardwareReq11,860,Texto,
SearchTerm1,900,Texto,Yeolpumta
SearchTerm2,901,Texto,YPT
SearchTerm3,902,Texto,Pomodoro
SearchTerm4,903,Texto,Study Timer
SearchTerm5,904,Texto,Cronometro de Estudo
SearchTerm6,905,Texto,Produtividade
SearchTerm7,906,Texto,Foco
TrailerToPlayAtTopOfListing,999,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer1,1000,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer2,1001,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer3,1002,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer4,1003,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer5,1004,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer6,1005,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer7,1006,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer8,1007,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer9,1008,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer10,1009,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer11,1010,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer12,1011,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer13,1012,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer14,1013,Caminho relativo (ou URL para arquivo no Partner Center),
Trailer15,1014,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerTitle1,1020,Texto,
TrailerTitle2,1021,Texto,
TrailerTitle3,1022,Texto,
TrailerTitle4,1023,Texto,
TrailerTitle5,1024,Texto,
TrailerTitle6,1025,Texto,
TrailerTitle7,1026,Texto,
TrailerTitle8,1027,Texto,
TrailerTitle9,1028,Texto,
TrailerTitle10,1029,Texto,
TrailerTitle11,1030,Texto,
TrailerTitle12,1031,Texto,
TrailerTitle13,1032,Texto,
TrailerTitle14,1033,Texto,
TrailerTitle15,1034,Texto,
TrailerThumbnail1,1040,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerThumbnail2,1041,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerThumbnail3,1042,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerThumbnail4,1043,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerThumbnail5,1044,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerThumbnail6,1045,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerThumbnail7,1046,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerThumbnail8,1047,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerThumbnail9,1048,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerThumbnail10,1049,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerThumbnail11,1050,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerThumbnail12,1051,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerThumbnail13,1052,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerThumbnail14,1053,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerThumbnail15,1054,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption1,1055,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption2,1056,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption3,1057,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption4,1058,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption5,1059,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption6,1060,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption7,1061,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption8,1062,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption9,1063,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption10,1064,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption11,1065,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption12,1066,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption13,1067,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption14,1068,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerClosedCaption15,1069,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerAudioDescription1,1070,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerAudioDescription2,1071,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerAudioDescription3,1072,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerAudioDescription4,1073,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerAudioDescription5,1074,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerAudioDescription6,1075,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerAudioDescription7,1076,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerAudioDescription8,1077,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerAudioDescription9,1078,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerAudioDescription10,1079,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerAudioDescription11,1080,Caminho relativo (ou URL para arquivo no Partner Center),
TrailerAudioDescription12,1081,Caminho relativo (ou URL para arquivo no Partner Center),
